,ResNet,DenseNet,EfficientNet,ResNext,WideNet,VGG
0,0.002348083071410656,0.5293858647346497,0.30348658561706543,0.18849481642246246,0.30812662839889526,0.20594733953475952
1,0.3277503550052643,0.001832581590861082,0.20847183465957642,0.27461662888526917,0.007809532806277275,0.17123499512672424
2,0.004146472550928593,0.30675485730171204,0.302215039730072,0.009645901620388031,0.1309967041015625,0.010262052528560162
3,0.3307085931301117,0.004015686456114054,0.24330073595046997,0.009386077523231506,0.011361704207956791,0.00045634465641342103
4,0.3381243348121643,0.00012463073653634638,0.19844482839107513,0.1960802674293518,0.012827853672206402,0.0156931784003973
5,0.09223014116287231,0.11296027898788452,0.2656359076499939,0.062327124178409576,0.2845175862312317,0.10169586539268494
6,0.27216947078704834,0.1439741551876068,0.29400306940078735,0.03945878520607948,0.0008150615030899644,0.0006180279888212681
7,0.007212075404822826,0.0014362940564751625,0.35816490650177,0.07074595987796783,0.2999897301197052,0.23281629383563995
8,0.032311439514160156,0.2926928997039795,0.3233988881111145,0.07140452414751053,0.04953097552061081,0.00028391164960339665
9,0.0005474764620885253,0.13100665807724,0.30759042501449585,0.08074675500392914,0.0006374034564942122,0.028030917048454285
10,0.01387039851397276,0.07036826014518738,0.250857412815094,0.3899060785770416,0.004181086551398039,0.05218224227428436
11,0.6364893913269043,0.4754163920879364,0.2159077674150467,0.07205420732498169,0.13480865955352783,0.0015690610744059086
12,0.09879230707883835,0.1067856177687645,0.31934529542922974,0.21919290721416473,0.06189034879207611,0.2733820080757141
13,7.129368896130472e-05,0.006511680781841278,0.3306487798690796,0.06821727752685547,0.2905201315879822,0.03231633082032204
14,0.002629338763654232,0.2739250361919403,0.2947677671909332,0.007436617277562618,0.07614240795373917,0.24678204953670502
15,0.1566990315914154,0.07372987270355225,0.4219185411930084,0.3123447299003601,0.3399192690849304,0.16053922474384308
16,0.0008736330200918019,0.00021167946397326887,0.3404240310192108,0.06813252717256546,0.004589798394590616,0.3285384774208069
17,0.39401906728744507,0.17528684437274933,0.2896132469177246,0.022962946444749832,0.0018226697575300932,0.16216593980789185
18,0.0070229144766926765,0.6475738286972046,0.17665183544158936,0.1462688446044922,0.1875883787870407,0.0014101286651566625
19,0.002625982975587249,0.003674207953736186,0.3572480082511902,0.009296827018260956,0.14871065318584442,0.0437249094247818
20,0.3651276230812073,8.981763676274568e-05,0.3851340711116791,0.06674004346132278,0.0019365404732525349,0.003250626614317298
21,0.10305407643318176,0.39892497658729553,0.34434765577316284,0.25509241223335266,0.07317850738763809,0.32526588439941406
22,0.14697736501693726,0.0003113292914349586,0.2586366534233093,0.25453323125839233,0.00139550119638443,0.2611801326274872
23,0.5873702168464661,0.027173766866326332,0.19705888628959656,0.010340194217860699,0.003006130922585726,0.1472032219171524
24,0.2208433598279953,0.13368313014507294,0.25776752829551697,0.00804240070283413,0.011516749858856201,0.0012088448274880648
25,0.6360101103782654,0.00109072495251894,0.15187937021255493,0.29754403233528137,0.031393926590681076,0.0006923324544914067
26,8.165615145117044e-05,0.0014225997729226947,0.2330140322446823,0.21771080791950226,0.508256733417511,0.19796116650104523
